date,usdprice
2007-01-15,0.653
2007-02-15,0.713
2007-03-15,0.698
2007-04-15,0.668
2007-05-15,0.677
2007-06-15,0.659
2007-07-15,0.652
2007-08-15,0.632
2007-09-15,0.644
2007-10-15,0.66
2007-11-15,0.648
2007-12-15,0.654
2008-01-15,0.678
2008-02-15,0.695
2008-03-15,0.681
2008-04-15,0.668
2008-05-15,0.671
2008-06-15,0.691
2008-07-15,0.701
2008-08-15,0.701
2008-09-15,0.706
2008-10-15,0.656
2008-11-15,0.557
2008-12-15,0.586
2009-01-15,0.594
2009-02-15,0.575
2009-03-15,0.569
2009-04-15,0.612
2009-05-15,0.643
2009-06-15,0.653
2009-07-15,0.661
2009-08-15,0.667
2009-09-15,0.681
2009-10-15,0.72
2009-11-15,0.705
2009-12-15,0.73
2010-01-15,0.812
2010-02-15,0.826
2010-03-15,0.814
2010-04-15,0.821
2010-05-15,0.814
2010-06-15,0.832
2010-07-15,0.889
2010-08-15,0.932
2010-09-15,0.938
2010-10-15,0.954
2010-11-15,0.971
2010-12-15,1.008
2011-01-15,1.024
2011-02-15,1.023
2011-03-15,1.004
2011-04-15,1.008
2011-05-15,1.022
2011-06-15,1.039
2011-07-15,1.09
2011-08-15,1.112
2011-09-15,1.106
2011-10-15,1.106
2011-11-15,1.091
2011-12-15,1.11
2012-01-15,1.155
2012-02-15,1.169
2012-03-15,1.136
2012-04-15,1.126
2012-05-15,1.113
2012-06-15,1.097
2012-07-15,1.095
2012-08-15,1.099
2012-09-15,1.088
2012-10-15,1.088
2012-11-15,1.092
2012-12-15,1.112
2013-01-15,1.126
2013-02-15,1.123
2013-03-15,1.111
2013-04-15,1.099
2013-05-15,1.097
2013-06-15,1.086
2013-07-15,1.131
2013-08-15,1.066
2013-09-15,0.973
2013-10-15,0.969
2013-11-15,0.956
2013-12-15,0.917
2014-01-15,0.951
2014-02-15,0.956
2014-03-15,1.004
2014-04-15,0.989
2014-05-15,0.987
2014-06-15,0.955
2014-07-15,0.971
2014-08-15,0.976
2014-09-15,0.962
2014-10-15,0.945
2014-11-15,0.963
2014-12-15,0.968
2015-01-15,0.991
2015-02-15,1.004
2015-03-15,1.009
2015-04-15,0.96
2015-05-15,0.949
2015-06-15,0.933
2015-07-15,0.94
2015-08-15,0.925
2015-09-15,0.906
2015-10-15,0.985
2015-11-15,0.956
2015-12-15,0.944
2016-01-15,0.963
2016-02-15,0.993
2016-03-15,1.025
2016-04-15,0.995
2016-05-15,0.973
2016-06-15,0.982
2016-07-15,0.85
2016-08-15,0.84
2016-09-15,0.832
2016-10-15,0.839
2016-11-15,0.81
2016-12-15,0.818
2017-01-15,0.987
2017-02-15,0.991
2017-03-15,0.819
2017-04-15,0.981
2017-05-15,0.983
2017-06-15,0.988
2017-08-15,0.982
2017-09-15,0.996
2017-10-15,0.986
2017-11-15,0.991
2017-12-15,1.009
2018-01-15,1.093
2018-02-15,1.079
2018-03-15,1.045
2018-04-15,1.017
2018-05-15,0.996
2018-06-15,0.98
2018-07-15,0.96
2018-08-15,0.945
2018-09-15,0.936
2018-10-15,0.915
2018-11-15,0.946
2018-12-15,0.98
2019-01-15,1.011
2019-02-15,1.016
2019-03-15,0.995
2019-04-15,0.995
2019-05-15,0.968
2019-06-15,0.978
2019-07-15,0.997
2019-08-15,0.979
2019-09-15,0.983
2019-10-15,0.987
2019-11-15,0.994
2019-12-15,1.001
2020-01-15,0.845
2020-02-15,0.83
2020-03-15,0.759
2020-04-15,0.746
2020-05-15,0.783
2020-06-15,0.819
2020-07-15,0.785
2020-08-15,0.791
2020-09-15,0.77
2020-10-15,0.785
2020-11-15,0.799
2020-12-15,0.81
2021-01-15,0.821
2021-02-15,0.827
2021-03-15,0.802
2021-04-15,0.784
2021-05-15,0.797
2021-06-15,0.804
2021-07-15,0.79
2021-08-15,0.79
2021-09-15,0.799
2021-10-15,0.809
2021-11-15,0.803
2021-12-15,0.797
2022-01-15,0.804
2022-02-15,0.808
2022-03-15,0.805
2022-04-15,0.803
2022-05-15,0.796
2022-06-15,0.781
2022-07-15,0.766
2022-08-15,0.792
2022-09-15,0.792
2022-10-15,0.775
2022-11-15,0.772
2022-12-15,0.791
2023-01-15,0.814
2023-02-15,0.849
2023-03-15,0.847
2023-04-15,0.88
2023-05-15,0.892
2023-06-15,0.885
2023-07-15,0.879
2023-08-15,0.869
2023-09-15,0.906
2023-10-15,0.911
2023-11-15,0.94
